league,season,game,team,player,is_home,position,formation_place,sub_in,sub_out,appearances,fouls_committed,fouls_suffered,own_goals,red_cards,sub_ins,yellow_cards,goals_conceded,shots_faced,goal_assists,offsides,shots_on_target,total_goals,total_shots,saves
GER-Bundesliga,2324,2023-11-11 Bayern Munich-1. FC Heidenheim 1846,1. FC Heidenheim 1846,Kevin Müller,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,,0.0,0.0,0.0,4.0
GER-Bundesliga,2324,2023-11-11 Bayern Munich-1. FC Heidenheim 1846,Bayern Munich,Manuel Neuer,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-11-11 FC Augsburg-TSG Hoffenheim,FC Augsburg,Finn Dahmen,True,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,,0.0,0.0,0.0,5.0
GER-Bundesliga,2324,2023-11-11 FC Augsburg-TSG Hoffenheim,TSG Hoffenheim,Oliver Baumann,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,,0.0,0.0,0.0,5.0
GER-Bundesliga,2324,2023-11-11 SV Darmstadt 98-Mainz,Mainz,Robin Zentner,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-11-11 SV Darmstadt 98-Mainz,SV Darmstadt 98,Marcel Schuhen,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-11-11 VfB Stuttgart-Borussia Dortmund,Borussia Dortmund,Gregor Kobel,False,Goalkeeper,1,start,end,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,19.0,0.0,,0.0,0.0,0.0,7.0
GER-Bundesliga,2324,2023-11-11 VfB Stuttgart-Borussia Dortmund,VfB Stuttgart,Alexander Nübel,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-11-11 VfL Bochum-FC Cologne,FC Cologne,Marvin Schwäbe,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,,0.0,0.0,0.0,8.0
GER-Bundesliga,2324,2023-11-11 VfL Bochum-FC Cologne,VfL Bochum,Manuel Riemann,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,,0.0,0.0,0.0,5.0
GER-Bundesliga,2324,2023-11-12 Bayer Leverkusen-1. FC Union Berlin,1. FC Union Berlin,Frederik Ronnow,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,14.0,0.0,,0.0,0.0,0.0,7.0
